time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-15T13:22:38.580Z,-4.0217,152.4893,10,6.2,mww,,23,7.523,0.77,us,us10008sjn,2017-05-16T20:58:53.040Z,"39km S of Namatanai, Papua New Guinea",earthquake,8.7,1.7,,,reviewed,us,us
2017-05-12T10:41:26.380Z,12.9108,-90.0562,10,6.2,mww,,22,1.113,1.47,us,us10008rtu,2017-05-16T13:14:03.721Z,"79km SSW of Acajutla, El Salvador",earthquake,5.9,1.7,,,reviewed,us,us
2017-05-10T23:23:36.160Z,-56.4081,-25.7636,10,6.5,mww,,26,6.477,0.99,us,us10008rb6,2017-05-11T16:23:34.040Z,"94km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.1,1.7,,,reviewed,us,us
2017-05-09T13:52:10.920Z,-14.5975,167.375,169,6.8,mww,,19,7.486,0.96,us,us10008qsb,2017-05-10T14:06:57.932Z,"61km NE of Port-Olry, Vanuatu",earthquake,2.5,1.9,0.052,35,reviewed,us,us
2017-05-09T01:54:14.490Z,24.4289,126.3222,10,6,mww,,42,2.973,0.7,us,us10008qnw,2017-05-11T22:38:48.709Z,"112km ESE of Hirara, Japan",earthquake,7.1,1.8,0.039,62,reviewed,us,us
2017-05-08T17:00:47.060Z,51.7545,-178.6361,10,6.2,mww,,23,0.926,0.96,us,us10008qhu,2017-05-09T00:00:45.537Z,"37km WSW of Tanaga Volcano, Alaska",earthquake,5.9,1.7,,,reviewed,us,us
2017-05-03T04:47:13.190Z,39.4963,71.4502,10,6,mww,,25,0.742,0.74,us,us10008npq,2017-05-18T02:14:25.853Z,"29km NNW of Karakenja, Tajikistan",earthquake,4.6,1.8,0.06,27,reviewed,us,us
2017-05-01T14:18:15.290Z,59.8295,-136.7042,2.53,6.3,mww,,,,0.76,us,us10008mgu,2017-05-17T20:56:00.715Z,"88km WNW of Skagway, Alaska",earthquake,4.6,3.3,,,reviewed,pgc,us
2017-05-01T12:31:55.290Z,59.8298,-136.6764,8,6.2,mww,,27,0.573,1.05,us,us10008mel,2017-05-12T08:24:00.733Z,"87km WNW of Skagway, Alaska",earthquake,4.3,1.7,,,reviewed,us,us
2017-04-28T20:23:17.280Z,5.5135,125.0782,26,6.9,mww,,23,5.234,0.98,us,us10008ls4,2017-05-05T15:16:46.285Z,"29km SW of Burias, Philippines",earthquake,7.1,1.8,0.044,49,reviewed,us,us
2017-04-24T21:38:30.840Z,-33.0291,-72.0452,28,6.9,mww,,39,0.342,0.72,us,us10008kce,2017-05-08T17:42:01.119Z,"39km W of Valparaiso, Chile",earthquake,2.5,1.8,,,reviewed,us,us
2017-04-23T02:36:07.840Z,-33.0361,-72.0063,21,6,mww,,38,0.31,0.89,us,us10008jvr,2017-05-10T04:15:26.674Z,"35km W of Valparaiso, Chile",earthquake,3.7,1.7,0.05,39,reviewed,us,us
2017-04-18T17:11:47.030Z,-18.0851,-178.3718,628,6,mww,,37,3.42,1.1,us,us10008iph,2017-05-06T21:59:11.269Z,"286km N of Ndoi Island, Fiji",earthquake,8.2,1.8,0.071,19,reviewed,us,us
2017-04-15T08:19:43.400Z,-23.2706,-67.7655,155,6.2,mww,,24,1.242,1.2,us,us10008hu2,2017-04-29T12:47:37.984Z,"60km SE of San Pedro de Atacama, Chile",earthquake,4.4,1.8,0.055,32,reviewed,us,us
2017-04-05T06:09:12.200Z,35.7755,60.4363,13,6.1,mww,,43,2.029,1.07,us,us10008ei0,2017-05-17T10:01:29.979Z,"61km NNW of Torbat-e Jam, Iran",earthquake,4.9,1.7,0.05,38,reviewed,us,us
2017-04-03T17:40:18.560Z,-22.6784,25.1558,29,6.5,mww,,15,2.36,1.11,us,us10008e3k,2017-04-19T20:54:42.574Z,"132km WSW of Moijabana, Botswana",earthquake,7.5,1.8,0.048,42,reviewed,us,us
2017-03-29T04:09:24.190Z,56.9401,162.7861,17,6.6,mww,,14,4.591,0.75,us,us20008vhl,2017-05-17T22:35:08.800Z,"81km NNE of Ust'-Kamchatsk Staryy, Russia",earthquake,6.8,1.7,0.039,63,reviewed,us,us
2017-03-27T10:50:20.190Z,52.7586,172.2616,20,6.2,mww,,39,1.117,1.05,us,us20008uzn,2017-05-04T09:47:14.160Z,"63km W of Attu Station, Alaska",earthquake,6.9,1.7,,,reviewed,us,us
2017-03-19T15:43:25.690Z,-8.1364,160.7536,8.37,6,mww,,32,1.519,0.92,us,us20008t6m,2017-04-05T15:54:25.968Z,"70km N of Auki, Solomon Islands",earthquake,7.9,3.3,0.068,21,reviewed,us,us
2017-03-14T02:51:16.770Z,6.1457,92.3044,10,6,mww,,29,4.709,0.69,us,us100088sf,2017-05-07T22:25:17.133Z,"230km SSW of Mohean, India",earthquake,7.5,1.8,,,reviewed,us,us
2017-03-05T22:47:53.970Z,-5.9945,149.3619,37,6.3,mww,,17,3.316,0.91,us,us1000876f,2017-04-04T02:30:23.577Z,"32km NW of Kandrian, Papua New Guinea",earthquake,7.4,1.9,,,reviewed,us,us
2017-03-04T02:58:20.280Z,-7.3277,155.748,17,6.1,mww,,15,4.654,1.03,us,us100086x7,2017-03-23T23:58:46.554Z,"115km SSE of Panguna, Papua New Guinea",earthquake,6.8,1.6,0.056,31,reviewed,us,us
2017-02-24T17:28:44.840Z,-23.2593,-178.8036,414.5,6.9,mww,,19,6.012,0.95,us,us20008m3t,2017-05-17T01:19:38.040Z,"289km S of Ndoi Island, Fiji",earthquake,8.6,3.5,,,reviewed,us,us
2017-02-21T14:09:04.320Z,-19.2814,-63.9047,595.98,6.5,mww,,14,4.242,0.9,us,us20008l41,2017-05-17T01:19:35.040Z,"41km E of Padilla, Bolivia",earthquake,9.6,3,0.04,59,reviewed,us,us
2017-02-18T12:10:17.970Z,-23.8613,-66.6592,222,6.4,mww,,28,2.415,1.23,us,us20008kn8,2017-05-13T01:03:24.040Z,"52km NW of San Antonio de los Cobres, Argentina",earthquake,6.9,1.8,0.04,60,reviewed,us,us
2017-02-10T14:03:43.920Z,9.9071,125.4516,15,6.5,mww,,36,2.822,0.95,us,us20008ixa,2017-05-09T01:24:33.040Z,"10km N of Mabua, Philippines",earthquake,5.2,1.7,,,reviewed,us,us
